iter	RMSE
0	1.009645026
1	0.972905908
2	0.9378006636
3	0.9039761033
4	0.8713157528
5	0.8401826197
6	0.8103276517
7	0.7816713998
8	0.7542397037
9	0.7273309232
10	0.7015480242
11	0.6770743603
12	0.652998385
13	0.6303045241
14	0.6084590206
15	0.5871883969
16	0.5669392517
17	0.5473817287
18	0.529107717
19	0.5112170251
20	0.4939555718
21	0.4774168782
22	0.4613680775
23	0.4461897778
24	0.4317356854
25	0.4178981562
26	0.404842685
27	0.3923101328
28	0.3795654244
29	0.3677067009
30	0.3561072017
31	0.3448911146
32	0.3344170517
33	0.3240020114
34	0.314213049
35	0.3049483943
36	0.2960816141
37	0.2871920325
38	0.2788366395
39	0.2709321417
40	0.26284679
41	0.2554607441
42	0.2479782729
43	0.2411863494
44	0.234408634
45	0.2280832448
46	0.2221638772
47	0.2160736656
48	0.2105021959
49	0.2048535824
50	0.1997154632
51	0.1944510866
52	0.189819339
53	0.1851477284
54	0.1805498277
55	0.1761393764
56	0.1719405363
57	0.1679184893
58	0.1639278915
59	0.1602558417
60	0.156594766
61	0.1530109491
62	0.1497034139
63	0.1463947485
64	0.14328588
65	0.1403897035
66	0.1374724194
67	0.1346042217
68	0.1319205024
69	0.1292755695
70	0.1268268389
71	0.1244021396
72	0.1220252166
73	0.1199290823
74	0.117776115
75	0.1156503611
76	0.1136489631
77	0.1118289533
78	0.1099583104
79	0.1082505698
80	0.1065891408
81	0.1049229067
82	0.10335135
83	0.1017928963
84	0.1003579477
85	0.09891821821
86	0.09755927671
87	0.09633910326
88	0.09508799498
89	0.09388783018
90	0.09273772702
91	0.09162921771
92	0.09061903293
93	0.08958213095
94	0.08864672075
95	0.08771516215
96	0.08681214793
97	0.08596077963
98	0.0851255724
99	0.08437540223
