iter	Passed	Remaining
0	10	1081
1	14	731
2	17	573
3	20	485
4	22	431
5	25	397
6	28	377
7	31	359
8	34	345
9	37	336
10	40	328
11	42	315
12	46	308
13	49	302
14	52	298
15	55	293
16	59	290
17	62	286
18	65	280
19	68	275
20	71	270
21	74	265
22	77	260
23	81	256
24	84	252
25	87	247
26	90	245
27	94	243
28	99	242
29	103	241
30	107	239
31	111	237
32	115	233
33	119	232
34	122	228
35	126	224
36	130	222
37	134	219
38	138	216
39	140	211
40	143	206
41	146	202
42	149	198
43	153	194
44	156	191
45	159	186
46	162	183
47	165	179
48	168	175
49	171	171
50	174	167
51	177	164
52	181	160
53	184	157
54	187	153
55	190	149
56	194	147
57	198	143
58	202	140
59	206	137
60	209	134
61	213	130
62	216	127
63	221	124
64	225	121
65	230	118
66	234	115
67	237	111
68	242	108
69	246	105
70	251	102
71	254	98
72	256	94
73	260	91
74	264	88
75	268	84
76	271	81
77	274	77
78	278	73
79	281	70
80	285	66
81	288	63
82	291	59
83	293	55
84	296	52
85	300	48
86	303	45
87	306	41
88	309	38
89	312	34
90	315	31
91	318	27
92	321	24
93	324	20
94	327	17
95	329	13
96	332	10
97	335	6
98	338	3
99	341	0
